C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER,C_CASE
1999,01,1,20,2,02,34,UU,1,5,3,03,01,06,1990,01,M,41,11,1,UU,1,000000000000752
1999,01,1,20,2,02,34,UU,1,5,3,03,02,01,1987,01,M,19,11,1,UU,1,000000000000752
1999,01,1,20,2,02,34,UU,1,5,3,03,02,01,1987,02,F,20,13,2,02,2,000000000000752
1999,01,1,08,2,01,01,UU,5,3,6,18,01,01,1986,01,M,46,11,1,UU,1,000000000000753
1999,01,1,08,2,01,01,UU,5,3,6,18,99,NN,NNNN,01,M,05,99,2,UU,3,000000000000753
1999,01,1,17,2,03,QQ,QQ,1,2,1,01,01,01,1984,01,M,28,11,1,UU,1,000000000000820
1999,01,1,17,2,03,QQ,QQ,1,2,1,01,02,01,1991,01,M,21,11,1,UU,1,000000000000820
1999,01,1,17,2,03,QQ,QQ,1,2,1,01,02,01,1991,02,F,UU,13,2,UU,2,000000000000820
1999,01,1,17,2,03,QQ,QQ,1,2,1,01,03,01,1992,01,M,UU,11,2,UU,1,000000000000820
1999,01,1,15,2,01,04,UU,1,5,U,UU,01,01,1997,01,M,61,11,1,UU,1,000000000000932
1999,01,1,15,2,01,04,UU,1,5,U,UU,01,01,1997,02,F,56,13,2,02,2,000000000000932
1999,01,1,14,2,02,31,UU,3,4,2,UU,01,01,1993,01,F,34,11,1,UU,1,000000000000992
1999,01,1,14,2,02,31,UU,3,4,2,UU,02,01,1997,01,F,34,11,2,02,1,000000000000992
1999,01,1,01,2,01,QQ,UU,1,2,5,UU,01,06,1985,01,M,22,11,2,02,1,000000000001067
1999,01,1,01,2,01,QQ,UU,1,2,5,UU,01,06,1985,02,M,28,13,2,02,2,000000000001067
1999,01,1,11,2,02,34,UU,1,2,2,01,01,06,1988,01,F,30,11,2,02,1,000000000001243
1999,01,1,11,2,02,34,UU,1,2,2,01,02,06,1993,01,M,49,11,2,02,1,000000000001243
1999,01,1,11,2,02,34,UU,1,2,2,01,01,06,1988,01,F,30,11,2,02,1,000000000001266
1999,01,1,11,2,02,34,UU,1,2,2,01,02,06,1993,01,M,49,11,2,02,1,000000000001266
1999,01,1,11,2,02,21,UU,1,5,1,UU,01,01,1994,01,M,32,11,1,UU,1,000000000001331
1999,01,1,11,2,02,21,UU,1,5,1,UU,02,06,1985,01,M,34,11,2,02,1,000000000001331
1999,01,1,13,2,02,34,UU,1,1,4,UU,01,06,1994,01,M,22,11,1,UU,1,000000000001677
1999,01,1,13,2,02,34,UU,1,1,4,UU,02,01,1993,01,F,31,11,2,02,1,000000000001677
1999,01,1,19,2,02,34,UU,1,1,1,UU,01,01,1995,01,M,68,11,1,UU,1,000000000001689
1999,01,1,19,2,02,34,UU,1,1,1,UU,02,01,1992,01,F,30,11,2,02,1,000000000001689
1999,01,1,19,2,02,34,UU,1,1,1,UU,02,01,1992,02,F,08,23,2,02,2,000000000001689
1999,01,1,16,2,02,23,UU,1,1,1,18,01,01,1998,01,M,45,11,2,02,1,000000000001719
1999,01,1,16,2,02,23,UU,1,1,1,18,02,01,1989,01,M,17,11,1,UU,1,000000000001719
1999,01,1,09,2,01,04,UU,3,5,5,18,01,01,1998,01,F,41,11,2,02,1,000000000001759
1999,01,1,02,2,02,34,UU,1,2,2,01,01,01,1997,01,F,33,11,2,02,1,000000000001980
1999,01,1,02,2,02,34,UU,1,2,2,01,02,01,1990,01,M,82,11,1,UU,1,000000000001980
1999,01,1,18,2,01,01,UU,3,2,1,18,01,01,1990,01,F,61,11,1,UU,1,000000000002003
1999,01,1,18,2,01,01,UU,3,2,1,18,99,NN,NNNN,01,M,39,99,2,NN,3,000000000002003
1999,01,1,13,2,01,01,UU,3,2,1,UU,01,11,UUUU,01,F,37,11,1,UU,1,000000000002005
1999,01,1,13,2,01,01,UU,3,2,1,UU,02,01,1995,01,F,55,11,1,UU,1,000000000002005
1999,01,1,13,2,01,01,UU,3,2,1,UU,99,NN,NNNN,01,F,38,99,2,NN,3,000000000002005
1999,01,1,17,2,04,QQ,UU,1,2,1,01,01,01,1989,01,M,21,11,1,UU,1,000000000002030
1999,01,1,17,2,04,QQ,UU,1,2,1,01,02,06,1990,01,F,43,11,1,UU,1,000000000002030
1999,01,1,17,2,04,QQ,UU,1,2,1,01,03,01,1994,01,M,UU,11,2,02,1,000000000002030
1999,01,1,17,2,04,QQ,UU,1,2,1,01,04,UU,1996,01,M,UU,11,2,02,U,000000000002030
1999,01,1,18,2,02,QQ,UU,1,1,1,UU,01,01,1989,01,M,35,11,1,UU,1,000000000002035
1999,01,1,18,2,02,QQ,UU,1,1,1,UU,02,01,1998,01,F,41,11,1,UU,1,000000000002035
1999,01,1,18,2,02,QQ,UU,1,1,1,UU,UU,UU,UUUU,01,F,35,98,2,NN,U,000000000002035
1999,01,1,19,2,01,01,UU,3,5,4,UU,01,01,1997,01,F,23,11,2,02,1,000000000002040
1999,01,1,12,2,01,04,QQ,1,5,3,18,01,01,1993,01,F,25,11,2,02,1,000000000002335
1999,01,1,10,2,01,03,QQ,1,2,1,18,01,01,1998,01,M,65,11,2,02,1,000000000002479
1999,01,1,15,2,01,QQ,01,1,1,1,06,01,01,1995,01,M,17,11,1,02,1,000000000002541
1999,01,1,15,2,01,QQ,01,1,1,1,06,99,NN,NNNN,02,F,41,99,2,NN,3,000000000002541
1999,01,1,23,2,01,02,QQ,1,5,1,10,01,01,1997,01,M,25,11,2,02,1,000000000002667
1999,01,1,23,2,01,02,QQ,1,5,1,10,01,01,1997,02,M,UU,13,2,02,2,000000000002667
1999,01,1,23,1,01,04,UU,1,1,4,18,01,06,1997,01,M,44,11,3,02,1,000000000002858
1999,01,1,00,2,01,01,UU,1,2,3,18,01,01,1986,01,M,36,11,2,02,1,000000000002874
1999,01,1,09,2,02,34,02,1,1,1,01,01,01,1992,01,F,33,11,2,02,1,000000000002890
1999,01,1,09,2,02,34,02,1,1,1,01,01,01,1992,02,F,UU,23,1,02,2,000000000002890
1999,01,1,09,2,02,34,02,1,1,1,01,02,01,1992,01,F,70,11,1,02,1,000000000002890
1999,01,1,09,2,01,03,UU,1,5,3,18,01,01,1996,01,F,50,11,2,02,1,000000000002951
1999,01,1,09,2,01,03,UU,1,5,3,18,01,01,1996,02,F,44,13,2,02,2,000000000002951
1999,01,1,08,2,02,04,UU,1,5,3,18,01,01,1996,01,M,43,11,2,02,1,000000000002954
1999,01,1,08,2,02,04,UU,1,5,3,18,01,01,1996,02,F,40,13,2,02,2,000000000002954
1999,01,1,08,2,02,04,UU,1,5,3,18,02,01,1989,01,U,UU,11,1,UU,1,000000000002954
1999,01,1,08,2,01,04,UU,1,5,3,18,01,01,1985,01,F,27,11,2,02,1,000000000002955
1999,01,1,08,2,01,04,UU,1,5,3,18,01,01,1985,02,F,27,13,2,02,2,000000000002955
1999,01,1,06,2,01,04,UU,1,5,4,18,01,01,1995,01,F,28,11,2,02,1,000000000002956
1999,01,1,06,2,01,04,UU,1,5,4,18,01,01,1995,02,M,26,13,1,02,2,000000000002956
1999,01,1,19,2,01,04,UU,1,5,1,18,01,06,1998,01,F,28,11,2,02,1,000000000003075
1999,01,1,14,2,02,QQ,UU,1,5,2,UU,01,20,UUUU,01,M,39,11,1,01,U,000000000003224
1999,01,1,14,2,02,QQ,UU,1,5,2,UU,01,20,UUUU,02,M,UU,13,1,02,U,000000000003224
1999,01,1,14,2,02,QQ,UU,1,5,2,UU,02,01,1993,01,M,15,11,2,02,1,000000000003224
1999,01,1,07,2,02,QQ,UU,1,1,1,18,01,01,1983,01,F,53,11,1,02,1,000000000003248
1999,01,1,07,2,02,QQ,UU,1,1,1,18,02,17,UUUU,01,F,UU,11,2,13,4,000000000003248
1999,01,1,19,2,01,01,UU,1,2,1,06,01,01,1995,01,F,16,11,1,02,1,000000000003284
1999,01,1,19,2,01,01,UU,1,2,1,06,99,NN,NNNN,01,F,45,99,2,UU,3,000000000003284
1999,01,1,11,2,02,QQ,UU,1,1,1,18,01,01,1997,01,M,45,11,1,02,1,000000000003414
1999,01,1,11,2,02,QQ,UU,1,1,1,18,01,01,1997,02,M,68,13,2,02,2,000000000003414
1999,01,1,11,2,02,QQ,UU,1,1,1,18,02,01,1990,01,M,36,11,2,02,1,000000000003414
1999,01,1,15,2,01,03,UU,4,3,5,18,01,01,1992,01,M,17,11,2,02,1,000000000003499
1999,01,1,15,2,01,03,UU,4,3,5,18,01,01,1992,02,F,15,13,2,02,2,000000000003499
1999,01,1,15,2,01,03,UU,4,3,5,18,01,01,1992,03,F,13,21,1,02,2,000000000003499
1999,01,1,15,2,01,03,UU,4,3,5,18,01,01,1992,04,F,14,22,1,02,2,000000000003499
1999,01,1,15,2,01,03,UU,4,3,5,18,01,01,1992,05,M,15,23,1,02,2,000000000003499
1999,01,1,21,2,02,31,UU,4,3,U,18,01,UU,1998,01,M,34,11,1,02,U,000000000003518
1999,01,1,21,2,02,31,UU,4,3,U,18,02,UU,1989,01,F,26,11,2,02,U,000000000003518
1999,01,1,21,2,02,31,UU,4,3,U,18,02,UU,1989,02,F,45,13,2,02,U,000000000003518
1999,01,1,21,2,02,31,UU,4,3,U,18,02,UU,1989,03,F,12,23,2,02,U,000000000003518
1999,01,1,20,2,01,QQ,UU,4,3,2,18,01,01,1988,01,F,16,11,2,02,1,000000000003519
1999,01,1,20,2,01,QQ,UU,4,3,2,18,01,01,1988,02,M,18,13,1,02,2,000000000003519
1999,01,1,20,2,01,QQ,UU,4,3,2,18,01,01,1988,03,M,18,21,1,02,2,000000000003519
1999,01,1,14,2,02,QQ,UU,4,3,1,UU,01,01,1996,01,M,77,11,2,02,1,000000000003544
1999,01,1,14,2,02,QQ,UU,4,3,1,UU,02,01,1989,01,M,86,11,2,UU,1,000000000003544
1999,01,1,15,2,01,01,UU,4,3,1,UU,01,01,1998,01,M,55,11,2,02,1,000000000003545
1999,01,1,15,2,01,01,UU,4,3,1,UU,01,01,1998,02,M,55,13,1,02,2,000000000003545
1999,01,1,12,2,01,04,UU,1,1,2,18,01,06,1998,01,M,65,11,2,UU,1,000000000003585
1999,01,1,20,2,02,33,UU,1,1,1,01,01,06,1991,01,M,42,11,1,02,1,000000000003627
1999,01,1,20,2,02,33,UU,1,1,1,01,01,06,1991,02,F,15,13,1,02,2,000000000003627
1999,01,1,20,2,02,33,UU,1,1,1,01,02,01,1990,01,F,24,11,2,02,1,000000000003627
1999,01,1,20,2,02,QQ,UU,1,1,6,UU,01,01,1996,01,F,43,11,2,02,1,000000000003789
1999,01,1,20,2,02,QQ,UU,1,1,6,UU,01,01,1996,02,M,16,13,2,02,2,000000000003789
1999,01,1,20,2,02,QQ,UU,1,1,6,UU,02,01,1993,01,F,25,11,1,02,1,000000000003789
1999,01,1,20,2,02,QQ,UU,1,1,6,UU,02,01,1993,02,F,20,13,1,02,2,000000000003789
1999,01,1,13,2,02,QQ,UU,1,1,1,01,01,01,1986,01,M,33,11,1,02,1,000000000003793
1999,01,1,13,2,02,QQ,UU,1,1,1,01,02,01,1988,01,M,47,11,2,02,1,000000000003793
1999,01,1,14,2,01,04,UU,1,1,1,18,01,01,1985,01,M,20,11,2,02,1,000000000003814
1999,01,1,14,2,01,04,UU,1,1,1,18,01,01,1985,02,M,19,13,2,01,2,000000000003814
1999,01,1,23,2,01,QQ,UU,1,1,5,UU,01,01,1999,01,M,22,11,2,02,1,000000000003903
1999,01,1,14,2,06,QQ,UU,1,2,1,UU,01,06,1993,01,U,UU,11,1,UU,1,000000000003938
1999,01,1,14,2,06,QQ,UU,1,2,1,UU,02,01,1991,01,U,UU,11,1,UU,1,000000000003938
1999,01,1,14,2,06,QQ,UU,1,2,1,UU,03,06,1993,01,U,UU,11,1,UU,1,000000000003938
1999,01,1,14,2,06,QQ,UU,1,2,1,UU,04,01,1989,01,U,UU,11,1,UU,1,000000000003938
1999,01,1,14,2,06,QQ,UU,1,2,1,UU,05,01,1997,01,U,UU,11,1,UU,1,000000000003938
1999,01,1,14,2,06,QQ,UU,1,2,1,UU,06,UU,1986,01,F,77,11,2,UU,U,000000000003938
1999,01,1,17,2,02,21,UU,4,3,2,01,01,01,1991,01,F,50,11,2,02,1,000000000003939
1999,01,1,17,2,02,21,UU,4,3,2,01,01,01,1991,02,F,82,13,2,02,2,000000000003939
1999,01,1,17,2,02,21,UU,4,3,2,01,02,01,1995,01,F,22,11,1,02,1,000000000003939
1999,01,1,17,2,01,QQ,UU,4,3,1,UU,01,01,1994,01,F,62,11,2,02,1,000000000003940
1999,01,1,12,2,02,21,UU,1,2,1,UU,01,06,1991,01,M,45,11,1,02,1,000000000003948
1999,01,1,12,2,02,21,UU,1,2,1,UU,02,01,1993,01,F,28,11,2,02,1,000000000003948
1999,01,1,12,2,02,21,UU,1,2,1,UU,02,01,1993,02,F,06,13,2,02,2,000000000003948
1999,01,1,12,2,02,21,UU,1,2,1,UU,02,01,1993,03,F,05,23,2,02,2,000000000003948
1999,01,1,07,2,01,04,UU,1,5,2,18,01,01,1995,01,M,UU,11,2,02,1,000000000004214
1999,01,1,19,2,02,21,UU,4,5,1,01,01,01,1987,01,M,19,11,1,02,1,000000000004216
1999,01,1,19,2,02,21,UU,4,5,1,01,01,01,1987,02,F,17,13,1,02,2,000000000004216
1999,01,1,19,2,02,21,UU,4,5,1,01,02,01,1997,01,F,25,11,2,02,1,000000000004216
1999,01,1,19,2,02,21,UU,4,5,1,01,02,01,1997,02,M,25,13,2,02,2,000000000004216
1999,01,1,20,2,01,03,UU,1,5,1,UU,01,01,1998,01,M,18,11,2,02,1,000000000004227
1999,01,1,14,2,01,04,UU,1,6,3,05,01,01,1988,01,F,20,11,2,UU,1,000000000004330
1999,01,1,20,2,01,03,03,1,1,3,05,01,01,1988,01,F,38,11,2,02,1,000000000004332
1999,01,1,19,2,02,21,UU,4,3,2,UU,01,01,1984,01,M,47,11,2,02,1,000000000004335
1999,01,1,19,2,02,21,UU,4,3,2,UU,02,UU,1998,01,M,36,11,1,UU,U,000000000004335
1999,01,1,UU,2,02,33,02,1,1,1,05,01,06,1990,01,M,57,11,1,02,1,000000000004370
1999,01,1,UU,2,02,33,02,1,1,1,05,02,01,1991,01,M,18,11,2,02,1,000000000004370
1999,01,1,19,2,01,03,UU,4,3,2,UU,01,01,1995,01,F,44,11,2,02,1,000000000004403
1999,01,1,19,2,01,03,UU,4,3,2,UU,01,01,1995,02,F,17,13,2,02,2,000000000004403
1999,01,1,20,2,01,04,UU,4,3,6,UU,01,01,1994,01,F,45,11,2,02,1,000000000004668
1999,01,1,19,2,01,01,UU,1,1,1,18,01,01,1995,01,M,83,11,1,02,1,000000000004754
1999,01,1,19,2,01,01,UU,1,1,1,18,99,NN,NNNN,01,M,45,99,2,UU,3,000000000004754
1999,01,1,18,2,01,01,UU,1,1,1,UU,01,06,1994,01,F,41,11,2,02,1,000000000004842
1999,01,1,18,2,01,01,UU,1,1,1,UU,01,06,1994,02,M,19,13,2,02,2,000000000004842
1999,01,1,13,2,02,21,UU,1,1,3,04,01,UU,1986,01,F,47,11,2,02,U,000000000004888
1999,01,1,13,2,02,21,UU,1,1,3,04,02,UU,UUUU,01,M,32,11,1,UU,U,000000000004888
1999,01,1,18,2,01,01,02,1,1,1,UU,01,01,1993,01,F,55,11,1,02,1,000000000005049
1999,01,1,18,2,01,01,02,1,1,1,UU,99,NN,NNNN,01,F,74,99,2,UU,3,000000000005049
1999,01,1,05,2,02,01,02,3,2,4,18,01,06,1995,01,M,34,11,1,02,1,000000000005053
1999,01,1,05,2,02,01,02,3,2,4,18,01,06,1995,02,M,30,13,1,02,2,000000000005053
1999,01,1,05,2,02,01,02,3,2,4,18,02,01,1989,01,U,UU,11,1,UU,1,000000000005053
1999,01,1,05,2,02,01,02,3,2,4,18,99,NN,NNNN,01,U,UU,99,2,13,3,000000000005053
1999,01,1,19,2,01,04,UU,1,1,3,UU,01,01,1992,01,M,35,11,2,02,1,000000000005213
1999,01,1,19,2,01,04,UU,1,1,3,UU,01,01,1992,02,F,67,13,2,02,2,000000000005213
1999,01,1,08,2,03,33,02,4,2,4,18,01,01,1989,01,M,18,11,2,02,1,000000000005392
1999,01,1,08,2,03,33,02,4,2,4,18,02,07,UUUU,01,M,51,11,1,02,1,000000000005392
1999,01,1,08,2,03,33,02,4,2,4,18,03,06,1994,01,F,34,11,1,UU,1,000000000005392
